dosage_forms,count
Oral Tablet,34672
Oral Capsule,8123
Injection,5903
Extended Release Oral Tablet,3725
"TABLET, EXTENDED RELEASE",3725
Injectable Solution,3174
SOLUTION FOR INJECTION,3174
"CAPSULE, EXTENDED RELEASE",1567
Extended Release Oral Capsule,1567
Gas for Inhalation,1370
INHALATION GAS,1370
Oral Solution,1201
"SOLUTION, ORAL",1201
Topical Cream,1183
Oral Suspension,923
"SUSPENSION, ORAL (FINAL DOSE FORM)",923
Delayed Release Oral Capsule,920
Prefilled Syringe,905
Delayed Release Oral Tablet,814
GASTRO-RESISTANT TABLET,814
"TABLET, DELAYED RELEASE (OBS 06-25-01)",814
Ophthalmic Solution,767
Topical Ointment,508
Topical Gel,501
Disintegrating Oral Tablet,484
"TABLET,DISINTEGRATING",484
TRANSDERMAL PATCH,356
Transdermal System,356
CUTANEOUS SOLUTION,291
Topical Solution,291
Chewable Tablet,256
"TABLET,CHEWABLE",256
AUTO-INJECTOR (EA),248
Auto-Injector,248
Sublingual Tablet,245
"TABLET, SUBLINGUAL",245
INHALATION SOLUTION,229
Inhalation Solution,229
Medicated Pad,185
Metered Dose Inhaler,166
Ophthalmic Suspension,160
Pen Injector,154
ORAL GEL,147
Oral Gel,147
Topical Lotion,147
Metered Dose Nasal Spray,136
Medicated Patch,135
Cartridge,130
Dry Powder Inhaler,109
EYE OINTMENT,105
Ophthalmic Ointment,105
Rectal Suppository,102
"SUPPOSITORY, RECTAL",102
POWDER FOR ORAL SUSPENSION,101
Powder for Oral Suspension,101
Injectable Suspension,97
POWDER FOR ORAL SOLUTION,97
Powder for Oral Solution,97
SUSPENSION FOR INJECTION,97
GARGLE,95
MOUTHWASH,95
Mouthwash,95
Otic Solution,92
Tablet for Oral Suspension,92
Medicated Liquid Soap,90
Nasal Spray,68
Oral Granules,67
Medicated Shampoo,64
Mucous Membrane Topical Solution,60
INHALATION SUSPENSION,48
Inhalation Suspension,48
TOOTHPASTE,48
Toothpaste,48
CUTANEOUS FOAM,47
Topical Foam,47
Otic Suspension,45
VAGINAL CREAM,44
Vaginal Cream,44
Irrigation Solution,42
"SOLUTION, IRRIGATION",42
GRANULES FOR ORAL SUSPENSION,41
Granules for Oral Suspension,41
Oral Foam,39
VAGINAL GEL,35
Vaginal Gel,35
EYE GEL,32
Ophthalmic Gel,32
Sublingual Film,31
Oral Pellet,30
PELLET (EA),30
CUTANEOUS POWDER,27
RECTAL CREAM,27
Rectal Cream,27
Topical Powder,27
Drug Implant,25
Intraperitoneal Solution,25
Topical Spray,25
Vaginal Insert,24
Mucosal Spray,23
"RING, VAGINAL",19
Vaginal System,19
LOZENGE,18
Oral Lozenge,18
TROCHE,18
INHALATION POWDER,16
Inhalation Powder,16
Extended Release Suspension,15
Oral Film,15
RECTAL GEL,15
Rectal Gel,15
"SUSPENSION,EXTENDED RELEASE VIAL (ML)",15
Topical Oil,15
ENEMA (EA),14
ENEMA (ML),14
Enema,14
Buccal Film,13
ORAL POWDER,12
Oral Powder,12
GRANULES FOR ORAL SOLUTION,10
Granules for Oral Solution,10
Oral Paste,9
Effervescent Oral Tablet,8
RECTAL FOAM,6
Rectal Foam,6
RECTAL OINTMENT,5
Rectal Ointment,5
Intrauterine System,4
Nasal Inhalant,4
Nasal Solution,4
Buccal Tablet,3
Chewable Extended Release Oral Tablet,3
Intratracheal Suspension,3
Intravesical Solution,3
"TABLET, BUCCAL",3
Medicated Tape,2
NASAL GEL,2
NASAL POWDER,2
Nasal Gel,2
Nasal Powder,2
Ophthalmic Irrigation Solution,2
Paste,2
"TAPE, MEDICATED",2
Topical Liquefied Gas,2
Injectable Foam,1
Ophthalmic Spray,1
Powder Spray,1
Powder for Intravesical Solution,1
Powder for Intravesical Suspension,1
Powder for Pyelocalyceal Solution,1
Topical Suspension,1
