specific_dosage_form,count
Oral Tablet,36953
Oral Capsule,8804
Injection,7108
Extended Release Oral Tablet,4054
"TABLET, EXTENDED RELEASE",4054
Injectable Solution,3426
SOLUTION FOR INJECTION,3426
"CAPSULE, EXTENDED RELEASE",1826
Extended Release Oral Capsule,1826
Gas for Inhalation,1372
INHALATION GAS,1372
Oral Solution,1339
"SOLUTION, ORAL",1339
Prefilled Syringe,1306
Topical Cream,1305
Oral Suspension,1011
"SUSPENSION, ORAL (FINAL DOSE FORM)",1011
Delayed Release Oral Capsule,993
Delayed Release Oral Tablet,868
GASTRO-RESISTANT TABLET,868
"TABLET, DELAYED RELEASE (OBS 06-25-01)",868
Ophthalmic Solution,866
Topical Gel,589
Topical Ointment,532
Disintegrating Oral Tablet,517
"TABLET,DISINTEGRATING",517
TRANSDERMAL PATCH,452
Transdermal System,452
AUTO-INJECTOR (EA),416
Auto-Injector,416
CUTANEOUS SOLUTION,308
Topical Solution,308
Sublingual Tablet,286
"TABLET, SUBLINGUAL",286
Chewable Tablet,282
"TABLET,CHEWABLE",282
Pen Injector,267
INHALATION SOLUTION,256
Inhalation Solution,256
Metered Dose Inhaler,254
Ophthalmic Suspension,203
Cartridge,202
Medicated Pad,197
Topical Lotion,178
Dry Powder Inhaler,176
ORAL GEL,176
Oral Gel,176
Medicated Patch,169
Metered Dose Nasal Spray,157
Injectable Suspension,138
SUSPENSION FOR INJECTION,138
POWDER FOR ORAL SUSPENSION,126
Powder for Oral Suspension,126
EYE OINTMENT,124
Ophthalmic Ointment,124
POWDER FOR ORAL SOLUTION,124
Powder for Oral Solution,124
GARGLE,122
MOUTHWASH,122
Mouthwash,122
Rectal Suppository,120
"SUPPOSITORY, RECTAL",120
Tablet for Oral Suspension,116
Medicated Liquid Soap,100
Nasal Spray,99
Oral Granules,99
Otic Solution,98
Medicated Shampoo,72
TOOTHPASTE,72
Toothpaste,72
CUTANEOUS FOAM,64
Mucous Membrane Topical Solution,64
Topical Foam,64
GRANULES FOR ORAL SUSPENSION,62
Granules for Oral Suspension,62
Oral Pellet,60
PELLET (EA),60
Otic Suspension,57
INHALATION SUSPENSION,55
Inhalation Suspension,55
Oral Foam,53
Intraperitoneal Solution,50
VAGINAL CREAM,50
Vaginal Cream,50
VAGINAL GEL,49
Vaginal Gel,49
Drug Implant,47
Irrigation Solution,46
"SOLUTION, IRRIGATION",46
EYE GEL,40
Ophthalmic Gel,40
CUTANEOUS POWDER,39
Topical Powder,39
Sublingual Film,38
Vaginal Insert,36
Mucosal Spray,35
"RING, VAGINAL",34
Vaginal System,34
INHALATION POWDER,32
Inhalation Powder,32
Topical Spray,32
RECTAL CREAM,31
Rectal Cream,31
Oral Film,26
Buccal Film,25
ORAL POWDER,22
Oral Powder,22
Extended Release Suspension,21
"SUSPENSION,EXTENDED RELEASE VIAL (ML)",21
LOZENGE,18
Oral Lozenge,18
TROCHE,18
Topical Oil,18
ENEMA (EA),17
ENEMA (ML),17
Enema,17
Effervescent Oral Tablet,15
RECTAL GEL,15
Rectal Gel,15
Oral Paste,11
GRANULES FOR ORAL SOLUTION,10
Granules for Oral Solution,10
RECTAL FOAM,10
Rectal Foam,10
Intrauterine System,8
Buccal Tablet,6
Chewable Extended Release Oral Tablet,6
Intratracheal Suspension,6
Nasal Solution,6
RECTAL OINTMENT,6
Rectal Ointment,6
"TABLET, BUCCAL",6
Intravesical Solution,5
Medicated Tape,4
NASAL GEL,4
NASAL POWDER,4
Nasal Gel,4
Nasal Inhalant,4
Nasal Powder,4
Ophthalmic Irrigation Solution,4
"TAPE, MEDICATED",4
Injectable Foam,2
Ophthalmic Spray,2
Paste,2
Powder Spray,2
Powder for Intravesical Solution,2
Powder for Intravesical Suspension,2
Powder for Pyelocalyceal Solution,2
Topical Liquefied Gas,2
Topical Suspension,2
